"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Topic Modeling Approach to Characterizing Colombian Teachers' Conceptions of Computational Thinking","H. Castellanos; C. Vieira; A. Magana","Computer and Information Technology, Purdue university, West Lafayette, IN, USA; Education Studies Institute, Universidad del Norte, Barranquilla, Colombia; Computer and Information Technology and Engineering Education, Purdue university, West Lafayette, IN, USA",2023 IEEE Frontiers in Education Conference (FIE),"5 Jan 2024","2023","","","1","5","This work-in-progress paper will explore the effectiveness of topic modeling to support the analysis of Colombian teachers' conceptions of computational thinking (in Spanish) in an online professional development program. Computational thinking has become a form of literacy as it can help individuals to solve problems. Consequently, governments and bodies of accreditation worldwide have supported educational initiatives, primarily at the K-12 level. However, curricular changes are not enough. Teachers need to be prepared, so they develop the content knowledge associated with computational thinking concepts, practices, and applications in the classroom. To contribute to professional development opportunities geared toward the development of computational thinking pedagogical content knowledge, the Colombian National Academy of Exact, Physics, and Natural Sciences and the Global Center for Equitable Computer Science Education implemented an open online professional development program for Latin American early childhood and elementary educators. More than 100 teachers enrolled in a six-week online professional development program to integrate computational thinking activities from early childhood education. The program included two modules focused on conceptual understanding of computational thinking in early childhood and four more modules where the participants adapted, designed, implemented learning activities, and reflected on what happened during the implementation. As part of the participants' weekly interactions, the program included a Jamboard space, where the teachers answered a set of guiding questions, just like a discussion forum, but as a post-it wall, where they could access all their peers' contributions and questions in a single space.","2377-634X","979-8-3503-3642-9","10.1109/FIE58773.2023.10343475","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10343475","Computational thinking;conception;topic modeling","Analytical models;Discussion forums;Computational modeling;Government;Education;Accreditation;Computer science education","","","","13","IEEE","5 Jan 2024","","","IEEE","IEEE Conferences"
"Complex Problem Solving as a Construct of Inquiry, Computational Thinking and Mathematical Problem Solving","M. Pedaste; T. Palts; K. Kori; M. Sõrmus; Ä. Leijen","Institute of Education, University of Tartu, Tartu, Estonia; Institute of Education, University of Tartu, Tartu, Estonia; Institute of Computer Science, University of Tartu, Tartu, Estonia; Institute of Education, University of Tartu, Tartu, Estonia; Institute of Education, University of Tartu, Tartu, Estonia",2019 IEEE 19th International Conference on Advanced Learning Technologies (ICALT),"2 Sep 2019","2019","2161-377X","","227","231","Complex problem solving is one of the key skills for future jobs, but it has not been clearly operationalized. We hypothesized that it is a construct of inquiry, computational thinking, and mathematical problem solving. The hypothesis was empirically tested by administering tests to 261 high school students for assessing three inquiry skills, two dimensions of computational thinking and five mathematical problem solving skills. Confirmatory factor analysis showed a three factor model of inquiry skills and two factor model of computational thinking skills to have a good fit. Mathematical problem solving skills were characterized with a two factor model. These factors were combined in a higher-order factor model into one construct that could be defined as a complex problem solving skill.","2161-377X","978-1-7281-3485-7","10.1109/ICALT.2019.00071","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8820852","problem solving;inquiry-based learning;computational thinking;mathematical problem solving;theory building","Problem-solving;Pattern recognition","","3","","17","IEEE","2 Sep 2019","","","IEEE","IEEE Conferences"
"Computational thinking in school education in South America: Systematic review of the literature","R. P. Curasma; H. Paucar Curasma","Fac. Ingeniería Electrónica y Eléctrica, Universidad Nacional Mayor de San Marcos, Lima, Perú; Fac. Ingeniería de Sistemas e Informática, Universidad Nacional Mayor de San Marcos, Lima, Perú","2020 IEEE XXVII International Conference on Electronics, Electrical Engineering and Computing (INTERCON)","12 Oct 2020","2020","","","1","4","This article is intended to present a systematic review of the development of computational thinking in the regular basic education of South American countries. For this study, the following topics were investigated: Educational studies and policies, methodologies designed for the teaching of computational thinking, languages, and tools used and the techniques or methods for assessment of computational thinking in the regular basic education.","","978-1-7281-9377-9","10.1109/INTERCON50315.2020.9220200","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9220200","computational thinking;South America;methodology;regular basic education","Education;Systematics;Tools;Programming profession;Computed tomography;Analytical models;Robots","","2","","28","IEEE","12 Oct 2020","","","IEEE","IEEE Conferences"
"Computational Thinking Test for Beginners: Design and Content Validation","M. Zapata-Cáceres; E. Martín-Barroso; M. Román-González","Computer Science Department, Universidad Rey Juan Carlos, Madrid, Spain; Computer Science Department, Universidad Rey Juan Carlos, Madrid, Spain; Faculty of Education UNED, Madrid, Spain",2020 IEEE Global Engineering Education Conference (EDUCON),"25 Jun 2020","2020","","","1905","1914","Computational Thinking (CT) is a fundamental skill that is not only confined to computer scientists’ activities but can be widely applied in daily life and is required in order to adapt to the future and, therefore, should be taught at early ages. Within this framework, assessing CT is an indispensable part to consider in order to introduce CT in the school curricula. Nevertheless, efforts involving the formal assessment of computational thinking has primarily focused on middle school grades and above; and are mostly based on the analysis of projects in specific programming environments. A Beginners Computational Thinking Test (BCTt), aimed at early ages, and based on the Computational Thinking Test [1], has been designed including several improvements; submitted to a content validation process through expert´s judgement procedure; and administered to Primary School students. The BCTt design is considered adequate by experts and results show a high reliability for the assessment of CT in Primary School, particularly in first educational stages.","2165-9567","978-1-7281-0930-5","10.1109/EDUCON45650.2020.9125368","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9125368","Beginners Computational Thinking Test;Computational Thinking;Computer Science Education;Primary Education;Assessment;Programming;Early Childhood Education","Three-dimensional displays;Statistical analysis;Instruments;Conferences;Sociology;Layout;Focusing","","26","","33","IEEE","25 Jun 2020","","","IEEE","IEEE Conferences"
"“Evolution”: Design and Implementation of Digital Educational Material to Strengthen Computational Thinking Skills","M. J. Rico Lugo; X. B. Olabe; N. M. Niño","Magister en Informática Educativa, Universidad de La Sabana, Chía, Colombia; Doctor Ingeniero de Telecomunicaciones, Universidad del País Vasco–Euskal Herriko Unibertsitatea, Lejona, Spain; Magister en Informática Educativa, Universidad de La Sabana, Chía, Colombia",IEEE Revista Iberoamericana de Tecnologias del Aprendizaje,"22 Mar 2018","2018","13","1","37","45","This paper describes how an educational digital material supports the improvement of skills in the development of algorithms within math problems, which belong to a part of an operative computational thinking, in students of the subject logic programming. This paper reflects how students lack the fundamentals of math and the algorithmic thinking which is required to solve the problems established in the educational digital material. The results show that doing a reiterative challenge helps student not only to get the fundamentals of math, but also to solve the algorithms used in the educational digital material, learning from the mistakes made.","1932-8540","","10.1109/RITA.2018.2809943","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8305488","Algorithms;computational thinking;critical thinking;educational digital material;information and communication technologies","Education;Programming profession;Tools;Software;Instruments","","3","","27","IEEE","1 Mar 2018","","","IEEE","IEEE Journals"
"Computational thinking through an online game to develop soft and hard skills","A. F. Farias; D. Augusto Couto Barone","Graduate Program in Informatics in Education, Federal University of Rio Grande do Sul, Porto Alegre, Brazil; Graduate Program in Informatics in Education, Federal University of Rio Grande do Sul, Porto Alegre, Brazil",2023 32nd Annual Conference of the European Association for Education in Electrical and Information Engineering (EAEEIE),"20 Jul 2023","2023","","","1","6","Currently we see globalization and technological advances accelerating worldwide, transforming the world of work and human coexistence. We still notice that the educational systems, in their majority, are disconnected from these global realities. In this sense, it is necessary to have an educational formation more aligned to the contemporary world, preparing young people for the challenges of the 21st century, how to deal with technological resources and processes, developing soft and hard skills. In this way, it can be observed that in recent years computational thinking has gained relevance in this scenario, being a field of research in the most varied areas of knowledge, developing communication skills, creativity, leadership, problem solving, familiarity with technologies, management, transforming young people into autonomous individuals who are prepared for the technological changes that the world requires. Taking these transformations as a reference, this paper describes/presents the development of an online tool to stimulate computational thinking in elementary school, through online games. he use of the ThinkinGame makes it possible to identify the pillars to be worked on with young people, after its use, thus improving the approaches to be given in the formation of these young people, being able to turn attention to the challenge of teaching additional skills, such as sophisticated thinking and flexible problem solving.","2472-7687","978-90-386-5690-8","10.23919/EAEEIE55804.2023.10181711","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10181711","computational thinking;soft skills;hard skills;educational game;meaningful learning","Leadership;Technology management;Education;Globalization;Europe;Games;Problem-solving","","","","20","","20 Jul 2023","","","IEEE","IEEE Conferences"
"Assessment of Computational Thinking Skills: A Systematic Review of the Literature","R. F. Z. Muñoz; J. A. H. Alegría; G. Robles","Departamento de sistemas, University of Cauca, Popayán, Colombia; Departamento de sistemas, University of Cauca, Popayán, Colombia; Escuela Superior de Ingeniería de Telecomunicación, University Rey Juan Carlos, Madrid, Spain",IEEE Revista Iberoamericana de Tecnologias del Aprendizaje,"30 Nov 2023","2023","18","4","319","330","Context In many countries, it is now important to integrate learning-oriented views to foster computational thinking (CT) in the classroom. This has inspired ideas for new lesson plans, instructional strategies, teacher guidance, and, most importantly, new approaches to grading these skills. Aim: This article presents the results of a systematic review initially focused on identifying the various ways of assessing CT in school and their relationship to relevant CT skills. Method: We conducted a systematic review of the literature to assess CT in schools. This review applied a semi-automatic search for specific terms within the selected papers. These terms came from the analysis of several established definitions of CT. Results: We present a set of the most representative competencies and concepts developed in various experiences, in which the main topic is the assessment of CT, as well as some that have not been developed and that may be the subject of future works. Conclusions: The evaluation of CT in the school requires multiple approaches; it is a challenge to have a single method or strategy to evaluate everything that CT implies.","1932-8540","","10.1109/RITA.2023.3323762","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10280127","Computational thinking;assessment;education;STEM","Proposals;Systematics;Programming profession;Reliability;Data mining;Training;Problem-solving;STEM;Education;Computational modeling","","1","","80","IEEE","11 Oct 2023","","","IEEE","IEEE Journals"
"Motivation, Awareness, and Perceptions of Computational Science","A. J. Magana; J. I. Mathur","Department of Computer and Information Technology, Purdue University, USA; Computational Science and Engineering and Computational Life Sciences, Purdue University, USA",Computing in Science & Engineering,"16 Jan 2012","2012","14","1","74","79","To meet the urgent need for a well-prepared CS&E workforce, we must better understand how students perceive the field.","1558-366X","","10.1109/MCSE.2012.13","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6129960","Student perceptions;computational science;computational life science;computational engineering;interest and motivators;qualitative research;scientific computing","Professional aspects;Computer science education;Computational modeling;Science (general);Research and development","","12","","16","IEEE","16 Jan 2012","","","IEEE","IEEE Magazines"
"Teaching Computational Thinking by Playing Games and Building Robots","J. F. Roscoe; S. Fearn; E. Posey","Computer Science, Aberystwyth University; Infinity, Aberystwyth University; Technocamps, Aberystwyth University",2014 International Conference on Interactive Technologies and Games,"18 Dec 2014","2014","","","9","12","Computing in schools has gained momentum in the last two years resulting in GCSEs in Computing and teachers looking to up skill from Digital Literacy (ICT). For many students the subject of computer science concerns software code but writing code can be challenging, due to specific requirements on syntax and spelling with new ways of thinking required. Not only do many undergraduate students lack these ways of thinking, but there is a general misrepresentation of computing in education. Were computing taught as a more serious subject like science and mathematics, public understanding of the complexities of computer systems would increase, enabling those not directly involved with IT make better informed decisions and avoid incidents such as over budget and underperforming systems. We present our exploration into teaching a variety of computing skills, most significantly ""computational thinking"", to secondary-school age children through three very different engagements. First, we discuss Print craft, in which participants learn about computer-aided design and additive manufacturing by designing and building a miniature world from scratch using the popular open-world game Mine craft and 3D printers. Second, we look at how students can get a new perspective on familiar technology with a workshop using App Inventor, a graphical Android programming environment. Finally, we look at an ongoing after school robotics club where participants face a number of challenges of their own making as they design and create a variety of robots using a number of common tools such as Scratch and Arduino.","","978-1-4799-6795-7","10.1109/iTAG.2014.15","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6990184","computational thinking;e ducation;games;technology;STEM","Computers;Three-dimensional displays;Programming;Educational institutions;Software;Robots","","17","","12","IEEE","18 Dec 2014","","","IEEE","IEEE Conferences"
"Educational Robotics and Computational Thinking Development in Preschool","A. Gerosa; V. Koleszar; L. Gómez-Sena; G. Tejera; A. Carboni","Centro Interdisciplinario en Cognición para la Enseñanza y el Aprendizaje, Universidad de la República, Montevideo, Uruguay; Centro Interdisciplinario en Cognición para la Enseñanza y el Aprendizaje, Universidad de la República, Montevideo, Uruguay; Centro Interdisciplinario en Cognición para la Enseñanza y el Aprendizaje, Universidad de la República, Montevideo, Uruguay; Centro Interdisciplinario en Cognición para la Enseñanza y el Aprendizaje, Universidad de la República, Montevideo, Uruguay; Centro Interdisciplinario en Cognición para la Enseñanza y el Aprendizaje, Universidad de la República, Montevideo, Uruguay",2019 XIV Latin American Conference on Learning Technologies (LACLO),"13 Feb 2020","2019","","","226","230","Programming robots playing with the environment is an ongoing research project aimed at developing a robot and intervention program capable of enhancing young children's cognitive abilities and computational thinking skills. Using a robot sensitive to color and distance, children are able to use everyday objects in order to interact with it and program its movements. An eleven session intervention program using this robot was designed with the objective of creating playful learning instances were children would practice abilities associated with what is generally thought of as computational thinking. We'll assess children's computational thinking, fluid intelligence, working memory, planning, sequencing, number recognition and magnitude comparison, vocabulary, mental rotation, inhibitory control and cognitive flexibility to test for cognitive effects of the intervention. An active control in which children interact with the robot by remotely controlling it was used.","","978-1-7281-4286-9","10.1109/LACLO49268.2019.00046","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8995066","computational thinking;educational robotics;early childhood","Robots;Robot sensing systems;Color;Computational modeling;Robot kinematics;Motors;Silicon","","5","","","IEEE","13 Feb 2020","","","IEEE","IEEE Conferences"
"On computational thinking as a universal skill: A review of the latest research on this ability","J. Moreno-León; M. Román-González; G. Robles","Programamos.es & Universidad Rey Juan Carlos, Madrid, Spain; Universidad Nacional de Educación a Distancia, Madrid, Spain; Universidad Rey Juan Carlos, Fuenlabrada, Spain",2018 IEEE Global Engineering Education Conference (EDUCON),"24 May 2018","2018","","","1684","1689","In recent years we are witnessing movements around the world to bring computer programming to schools. Lots of these initiatives, however, have been conceived to address the shortage of professionals in the technology sector, an approach that is encouraged by the software industry. On the contrary, this article argues that the focus should swift towards computational thinking, an ability that goes far beyond computer science or technology, fostering fundamental skills for the citizens of the twenty-first century. In this paper we summarize the findings of recent investigations that study computational thinking from different perspectives, explaining what this new skill is made of, presenting outcomes of school interventions showing relationships between the development of this ability and improvements in different subjects and soft skills, presenting technologies to foster its development, and reviewing tools that support educators in the assessment of this skill.","2165-9567","978-1-5386-2957-4","10.1109/EDUCON.2018.8363437","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8363437","computational thinking;programming;skills;computer science education;digital literacy","Programming profession;Encoding;Software;Europe;Industries","","23","","29","IEEE","24 May 2018","","","IEEE","IEEE Conferences"
"Using 3D Virtual and Physical Robot Alone or Together-Which Works Better for Learning engagement and Computational Thinking","H. Gao; Y. Zhang; K. Wang; F. Yu; T. Li","Faculty of Artificial Intelligence Education, Central China Normal University Wuhan, China; Faculty of Artificial Intelligence Education, Central China Normal University Wuhan, China; Wuhan Academy of Education Sciences Wuhan, China; Xingouqiao Primary School Wuhan, China; Xingouqiao Primary School Wuhan, China",2024 International Symposium on Educational Technology (ISET),"26 Sep 2024","2024","","","381","385","With the development of virtual reality technology, 3D virtual robots are increasingly used in primary school robot programming teaching. Therefore, in this study, 64 fifth-grade students were divided into two groups, and the experimental research method was used to investigate which method is more conducive to improving students’ learning engagement and computational thinking by combining or separately using 3D virtual robots and physical robots in robot programming courses. The results show that the combined use of 3D virtual and physical robots in a robot programming course improves students’ Programming self-efficacy scale and learning engagement, thus improving students’ computational thinking.","2766-2144","979-8-3503-6141-4","10.1109/ISET61814.2024.00082","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10685722","3D VR Robot;Physical Robot;Robot Programming;Computational Thinking;Learning engagement","Three-dimensional displays;Virtual reality;Educational technology;Programming profession;Robot programming","","","","28","IEEE","26 Sep 2024","","","IEEE","IEEE Conferences"
"Self-Efficacy to Train Computational Thinking Skills in Pre-Service Teachers*","F. Talavera-Mendoza; F. H. R. Paucar; D. A. U. Alarcón","Universidad Nacional de San Agustin de Arequipa, Arequipa, Perú; Universidad Nacional de San Agustin de Arequipa, Arequipa, Perú; Universidad Nacional de San Agustin de Arequipa, Arequipa, Perú",2023 XIII International Conference on Virtual Campus (JICV),"25 Jun 2024","2023","","","1","4","In this work we, study the self-efficacy of the use of the Choreographe software in block programming using the NAO robot in order to develop instructional videos in the classroom within the framework of Computational Thinking. The put forward objectives were three; (1) Evaluate the level of significance of self-efficacy and the applicability of CT concepts. (2) Measure the relationship between the applicability of CT concepts with the ease of use, usefulness, attitude and intention to work in the future with an instructional program. (3) Establish the percentages and means of the items of the variables concepts CT and self-efficacy. Thus, from a quantitative approach, we propose to create a questionnaire to measure self-efficacy and the level of knowledge acquired in block programming. 4 practical workshops of 2 hours each have been carried out with 28 initial training students between the ages of 23 and 27. The results yielded a positive correlation between the variables self-efficacy and computational thinking. Highlighting a positive acceptance of self-efficacy in the use of Choreographe software in the block programming experience and a growing ascendancy of interaction.","","979-8-3503-4344-1","10.1109/JICV59748.2023.10565688","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10565688","Self efficacy;teachers in initial training;computational thinking;block programming","Training;Correlation;Conferences;Social sciences;Programming;Market research;Software","","","","36","IEEE","25 Jun 2024","","","IEEE","IEEE Conferences"
"Development of iOS Software n-Queens Problem for Education and Its Application for Promotion of Computational Thinking","Y. Sasaki; M. Fukui; T. Hirashima","Faculty of Environment & Information Studies, Keio University, Fujisawa, Japan; Graduate School of Engineering, Hiroshima University, Higashi-Hiroshima, Japan; Graduate School of Engineering, Hiroshima University, Higashi-Hiroshima, Japan",2019 IEEE 8th Global Conference on Consumer Electronics (GCCE),"27 Feb 2020","2019","","","563","565","In this study, the authors develop an iOS software “n-Queens Problem for Education” and discuss its application in the promotion of computational thinking. As it has already been pointed out in [1] and [2], playing games and solving puzzles are effective in cultivating computational thinking, and our gaming software can be a good tool to cultivate skills regarding “Generalization (Pattern Recognition),” “Abstraction;' and “Algorithms” of computational thinking. Our software “n-Queens Problem for Education” is based on the well-known “The n-Queens Puzzle,” which involves solving a puzzle of placing eight chess queens on an n × n chessboard so that they do not attack one another. This puzzle is a good way for students to learn computational thinking. Since this software shows the queens' moves and evaluates solutions, you can concentrate on using your brain without writing down the moves or erasing wrong solutions. In addition, this software has features such as the symmetry operations of rotation and reflection of the board that help users study their solutions.","2378-8143","978-1-7281-3575-5","10.1109/GCCE46687.2019.9015331","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9015331","Computational Thinking;iOS Application;n-Queens Problem;Algorithmic Thinking;Problem Solving Skills","Education;Software;Games;Pattern recognition;Software algorithms;Problem-solving;Conferences","","4","","7","IEEE","27 Feb 2020","","","IEEE","IEEE Conferences"
"Developing Software Using Agile and Design Thinking Framework","M. S. Mirza; S. Datta","Software Engineering, University of Houston-Clear Lake, Houston, USA; Software Engineering, University of Houston-Clear Lake, Houston, USA",2020 International Conference on Computational Science and Computational Intelligence (CSCI),"23 Jun 2021","2020","","","1819","1823","There are several software companies that develop several products. Are all of them used? Even after software companies following Agile framework methodology to develop their software's, many software's still fail to meet the requirements and eventually customers end up not using them. This is usually because the software teams fail to completely understand the user requirements. Agile framework and Design Thinking framework can be used together to gain customer empathy and to overcome this problem. This study discusses how Agile framework and Design Thinking supports the same principles and can be used to reduce software development failures. A Flashcard application was developed to validate Agile framework Design Thinking framework. The results are discussed in the validation and result section.","","978-1-7281-7624-6","10.1109/CSCI51800.2020.00335","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9458007","Agile framework;Design thinking;software development;communication;prototype","Scientific computing;Customer satisfaction;XML;Companies;Production;Software;C# languages","","","","12","IEEE","23 Jun 2021","","","IEEE","IEEE Conferences"
"Designing Interaction and User Interface of Computational Thinking Digital Game for Children using User-Centered Design Approach","N. R. Ramadhani; A. Mulyanto; G. S. Niwanputri","School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia; School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia; School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia","2020 7th International Conference on Advance Informatics: Concepts, Theory and Applications (ICAICTA)","19 May 2021","2020","","","1","6","In the 21st Century, technology has become a part of almost everyone's lives in the world and will keep on evolving. Therefore, people's way of thinking must be able to follow the technology evolution. Since 2006, Computational Thinking (CT) has been stated as a fundamental skill for everyone, not just for computer scientists. The concept of CT is very important to be taught to children so that it can be applied as early as possible. In the digital era that is happening now, the suitable CT learning for children is in the form of digital game as an application on smartphones. The interaction and interface of this application is designed using user-centered design approach in ISO 9241210:2010. In order to make this application useful for children, it should be effective to use, easy to learn, and enjoyable. Those three things are the usability and user experience goals of this application. Usability testing is conducted to validate the achievement of the goals by using several metrics, such as completion rate, Single Ease Question (SEQ), System Usability Scale (SUS), and Intrinsic Motivation Inventory for interest/enjoyment subscale. The completion rate is 97,4 %/100% for usability goal effective to use, the SEQ score is 6,12/7 and the SUS score is 70,5/100 for usability goal learnability, and the IMI interest/enjoyment subscale score is 6,02/7 for user experience goal enjoyable. This application has achieved the usability and user experience goals because all the scores from the measurements using those four metrics are above the average.","","978-1-7281-8038-0","10.1109/ICAICTA49861.2020.9429049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9429049","interaction design;computational thinking;game;user-centered design;prototype;usability testing","Measurement;User centered design;Prototypes;Games;User interfaces;User experience;Usability","","1","","18","IEEE","19 May 2021","","","IEEE","IEEE Conferences"
"Sustainable C++ Education in General High School: from Teaching Programming Skills to Developing Computational Thinking","W. Xiduo; L. Jialin; Z. Zhizhen","Technology teaching and research group, The Second High School Attached to Beijing Normal University, Beijing, China; Faculty of Education, Beijing Normal University, Beijing, China; Faculty of Education, Beijing Normal University, Beijing, China",2020 15th International Conference on Computer Science & Education (ICCSE),"22 Sep 2020","2020","","","35","38","In the age of Artificial Intelligence, the status of C++ Education Program in China's general high schools is somewhat embarrassing. On one hand, the programming training courses targeted K-12 students have been a big industry; on the other hand, the four editions of the current National High School Information Technology Curriculum textbooks are all in python. Based on the teaching experience of frontline teachers who have been teaching in general high schools for 18 years and the analysis of China's latest curriculum standards and core literacy requirements in information technology, this paper explores how general high schools can achieve sustainable C++ education program. At the curriculum level, combining the characteristics of C++ and students' developmental needs, two series of courses are formed: the General Studies Series and the Competition Series, the General Studies Series feature ""wide range of content"" and ""real problem-driven""; the Competition Series featuring ""deep"" and ""classic problems of computer science algorithms"". At the teaching level, putting ""problem understanding"", ""algorithm design"", ""algorithm experimentation and analysis"" and ""algorithm thinking communication"" at the core of teaching practice, in stages and according to the types of students, differential teaching strategies are adopted, attaching importance to the problem context design and algorithm design, and emphasizing the process of ""computational thinking"" of the students. Only based on the all-round development of students' individuality, adjusting the curriculum and teaching, can the C++ Programming Education of ordinary high school be sustainable.","2473-9464","978-1-7281-7267-5","10.1109/ICCSE49874.2020.9201830","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9201830","C++ programming education;sustainability;computational thinking","Education;C++ languages;Programming profession;Information technology;Standards","","","","9","IEEE","22 Sep 2020","","","IEEE","IEEE Conferences"
"Teaching research and practice of blended leaning model based on computational thinking","Y. Li; Y. Liu; P. Shu","School of Computer Science and Engineering, Beihang University, Beijing, China; School of Computer Science and Engineering, Beihang University, Beijing, China; School of Computer Science and Engineering, Beihang University, Beijing, China",2015 IEEE Frontiers in Education Conference (FIE),"7 Dec 2015","2015","","","1","8","With the wide use of computers, how to make students understand the special way of thinking of computer science and find the appropriate methods to solve problems in their own fields like computer scientists are the challenges for educators. This paper proposed a computational thinking model based on blended learning Mctbbl and a descending dimension method for problem-space transformation. The Mctbbl model analyzes and researches the application of computational thinking in computer science by the organic combination of computational thinking and blended learning in a life-cycle perspective. On one hand, the model can summarize the core concepts and important principles in computer science and extract the typical thoughts and general methods of solving problems; on the other hand, the model can implement the teaching and learning of computational thinking by means of blended learning. Based on the model, the teachers can teach the problem-solving process by using computer more intuitively and clearly and the students can understand the application of computer knowledge more easily and simply. The Mctbbl prolongs the study life cycle which takes preview as beginning, teacher-student discussion as body and practical application as core to ensure integrity, endurance and consistency of teaching.","","978-1-4799-8454-1","10.1109/FIE.2015.7344415","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7344415","Computational Thinking;Blended learning;Descending dimension;Abstract;Automation","Decision support systems;Education;Handheld computers;Computational modeling;Automation;Scientific computing;Arrays","","1","","20","IEEE","7 Dec 2015","","","IEEE","IEEE Conferences"
"Computational Thinking: Possibilities and Challenges","L. Ribeiro; D. J. Nunes; M. K. d. Cruz; E. d. S. Matos","Institute of Informatics, Federal University of Rio Grande do Sul (UFRGS), Porto Alegre, Brazil; Institute of Informatics, Federal University of Rio Grande do Sul (UFRGS), Porto Alegre, Brazil; NA; NA",2013 2nd Workshop-School on Theoretical Computer Science,"27 Mar 2014","2013","","","22","25","The aim of this paper is to discuss the importance of computational thinking and how to include techniques to teach this kind of ability in schools in Brazil. First, we discuss what Computational Thinking is and the importance of teaching such skill in school. Then, we list some of the challenges that are involved in introducing this discipline in school curricula.","","978-1-4799-3057-9","10.1109/WEIT.2013.32","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6778560","computational thinking;elementary and middle school;high school;education in Brazil","Educational institutions;Computer science;Computers;Algorithm design and analysis;Complexity theory","","14","","9","IEEE","27 Mar 2014","","","IEEE","IEEE Conferences"
"Syntax Exercises and Their Effect on Computational Thinking","M. Johnson; H. Swanson; J. Edwards","Department of Computer Science, Utah State University, Logan, USA; Instructional Technology and Learning Sciences, Utah State University, Logan, USA; Department of Computer Science, Utah State University, Logan, USA","2022 Intermountain Engineering, Technology and Computing (IETC)","20 Jun 2022","2022","","","1","6","Job opportunities and the need for programmers are increasing. Companies are looking for new hires who have the ability to learn how to learn, who have computational thinking skills. Student dropout rate in computer science is the highest among college majors. Educators are striving to find a way to teach efficiently and effectively the technical and the problem solving skills students need. In this paper we will be studying the effects of syntax exercises on a subject's ability to think computationally and precisely. We tested our process on professionals and students. Half of the professionals were in the computer science field and half of our students did syntax exercises. The other half of professionals and students had no exposure to syntax to compare. Our purpose is to find if teaching students syntax exercises are still relevant and can teach both technical and computational thinking skills.","","978-1-6654-8653-8","10.1109/IETC54973.2022.9796660","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9796660","syntax;precision in thinking;computation thinking;programming;computing eduation","Computer science;Engineering profession;Education;Companies;Syntactics;Computer science education;Problem-solving","","","","17","IEEE","20 Jun 2022","","","IEEE","IEEE Conferences"
"Work in progress — Integrating computational and engineering thinking through online design and simulation of multidisciplinary systems","A. J. Magana; P. Marepalli; J. V. Clark","Purdue University, USA; Purdue University, USA; Purdue University, USA",2011 Frontiers in Education Conference (FIE),"2 Feb 2012","2011","","","S3C-1","S3C-2","Computation is an increasingly essential tool for doing scientific research. It is expected that future engineers will need to engage and understand computing in order to work effectively with computational systems, technologies, and methodologies. Toward this goal, we leverage our previous work with SugarAid v0.2 to allow learners to test their knowledge of computing by applying engineering concepts. Applied concepts include designing multidisciplinary systems including electrical, mechanical, fluidic, and thermal components. Through this method, we expect learners to enhance their computing knowledge by applying their engineering knowledge.","2377-634X","978-1-61284-469-5","10.1109/FIE.2011.6143083","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6143083","computational thinking;engineering thinking;computational simulations;systems design","Computational modeling;Mathematical model;Knowledge engineering;Education;Sugar industry;Glass;Conferences","","","","10","IEEE","2 Feb 2012","","","IEEE","IEEE Conferences"
